clean_names,name,sflag,AphiaID,HAB,warning_level,italic
Gymnodiniales,Gymnodiniales,,109392,FALSE,,FALSE
Gymnodiniales_CC,Gymnodiniales,,109392,FALSE,,FALSE
Gymnodiniales_CS,Gymnodiniales,,109392,FALSE,,FALSE
Gymnodiniales_Eliptical,Gymnodiniales,,109392,FALSE,,FALSE
Gymnodiniales_larger_than_30,Gymnodiniales,,109392,FALSE,,FALSE
Gymnodiniales_smaller_than_30,Gymnodiniales,,109392,FALSE,,FALSE
Gymnodinium_corollarium,Gymnodinium corollarium,,623645,FALSE,,TRUE
Gymnodinium_verruculosum,Gymnodinium verruculosum,,232880,FALSE,,TRUE
Gyrodinium_fusiforme,Gyrodinium fusiforme,,109856,FALSE,,TRUE
Gyrodinium_heterotropic,Gyrodinium,spp.,109476,FALSE,,TRUE
Gyrodinium_spirale,Gyrodinium spirale,,109876,FALSE,,TRUE
Gyrosigma_Pleurosigma,Pleurosigmataceae,,149032,FALSE,,FALSE
Halosphaera_spp,Halosphaera,spp.,134528,FALSE,,TRUE
Haptophyta,Haptophyta,,369190,FALSE,,FALSE
Helicostomella-like,Tintinnidae,,183533,FALSE,,FALSE
Heterocapsa_Azadinium,Peridiniales,,109394,FALSE,,FALSE
Heterocapsa_niei-like,Heterocapsa,sp.,109540,FALSE,,TRUE
Heterocapsa_rotundata,Heterocapsa rotundata,,110152,FALSE,,TRUE
Heterocapsa_spp,Heterocapsa,spp.,1741213,FALSE,,TRUE
Heterocyte,Cyanophyceae,,146542,FALSE,,FALSE
Heterosigma-like,Chattonellaceae,,160583,FALSE,,FALSE
Kapelodinium_vestifici,Kapelodinium vestifici,,1368615,FALSE,,TRUE
Karenia_mikimotoi-like,Karenia,spp.,231788,FALSE,,TRUE
Karenia_spp,Karenia,spp.,231788,FALSE,,TRUE
Katablepharis_remigera,Katablepharis remigera,,627117,FALSE,,TRUE
Katodinium-like,Tovelliaceae,,577245,FALSE,,FALSE
Kryptoperidinium_triquetrum,Kryptoperidinium triquetrum,,1346683,FALSE,,TRUE
Laboea_strobila,Laboea strobila,,101264,FALSE,,TRUE
Lauderia_spp,Lauderia,spp.,149134,FALSE,,TRUE
Lepidodinium-like,Gymnodiniaceae,,109410,FALSE,,FALSE
Leprotintinnus-like,Tintinnidiidae,,247914,FALSE,,FALSE
Leptocylindrus_danicus,Leptocylindrus danicus,,149106,FALSE,,TRUE
Leptocylindrus_danicus_Leptocylindrus_minimus,Leptocylindrus,spp.,149038,FALSE,,TRUE
Leptocylindrus_minimus,Leptocylindrus minimus,,149039,FALSE,,TRUE
Lessardia-like,Podolampadaceae,,231806,FALSE,,FALSE
Leucocryptos_marina,Leucocryptos marina,,119077,FALSE,,TRUE
Licmophora_spp,Licmophora,spp.,149342,FALSE,,TRUE
Lingulaulax_polyedra,Lingulaulax polyedra,,1778370,TRUE,,TRUE
Lingulaulax_polyedra_pair,Lingulaulax polyedra,,1778370,TRUE,,TRUE
Lithodesmium-like,Lithodesmiaceae,,149021,FALSE,,FALSE
Lohmanniella-like,Strobilidiidae,,22563,FALSE,,FALSE
Melosira_arctica,Melosira arctica,,160537,FALSE,,TRUE
Melosira_spp,Melosira,spp.,149042,FALSE,,TRUE
Meringosphaera_mediterranea,Meringosphaera mediterranea,,248129,FALSE,,TRUE
Merismopedia_spp,Merismopedia,spp.,146545,FALSE,,TRUE
Mesodinium_major,Mesodinium major,,1476503,FALSE,,TRUE
Mesodinium_rubrum,Mesodinium rubrum,,232069,FALSE,,TRUE
Mesodinium_spp,Mesodinium,spp.,179320,FALSE,,TRUE
Mesodinium_spp2,Mesodinium,spp.,179320,FALSE,,TRUE
Mesodinium_spp3,Mesodinium,spp.,179320,FALSE,,TRUE
Monoraphidium_spp,Monoraphidium,spp.,160590,FALSE,,TRUE
Mussel_larvae,Bivalvia,,105,FALSE,,TRUE
Navicula-like,Naviculaceae,,149031,FALSE,,FALSE
Nematopsides_vigilans-like,Nematopsides,sp.,547526,FALSE,,TRUE
Nitzschia_frigida,Nitzschia frigida,,175400,FALSE,,TRUE
Nitzschia_paleacea,Nitzschia paleacea,,609727,FALSE,,TRUE
Nodularia_spumigena_coil,Nodularia spumigena,,160566,TRUE,,TRUE
Nodularia_spumigena_filament,Nodularia spumigena,,160566,TRUE,,TRUE
Octactis_speculum,Octactis speculum,,1310442,FALSE,,TRUE
Odontella_aurita,Odontella aurita,,149050,FALSE,,TRUE
Oocystis_spp,Oocystis,spp.,178611,FALSE,,TRUE
Oscillatoriales,Oscillatoriales,,146603,FALSE,,FALSE
Oxytoxum_gracile,Oxytoxum gracile,,233870,FALSE,,TRUE
Parafavella_denticulata-like,Parafavella,sp.,196836,FALSE,,TRUE
Paralia_sulcata,Paralia sulcata,,149055,FALSE,,TRUE
Pauliella_taeniata,Pauliella taeniata,,163624,FALSE,,TRUE
Pauliella_taeniata2,Pauliella taeniata,,163624,FALSE,,TRUE
Pauliella_taeniata3,Pauliella taeniata,,163624,FALSE,,TRUE
Pauliella_taeniata4,Pauliella taeniata,,163624,FALSE,,TRUE
Pauliella_taeniata5,Pauliella taeniata,,163624,FALSE,,TRUE
Pauliella_taeniata6,Pauliella taeniata,,163624,FALSE,,TRUE
Pennales,Pennales,,1304629,FALSE,,FALSE
Pennales_chain,Pennales,,1304629,FALSE,,FALSE
Pennales_chain_Fragillariopsis-like,Bacillariaceae,,149002,FALSE,,FALSE
Pennales_single,Pennales,,1304629,FALSE,,FALSE
Peridiniales,Peridiniales,,109394,FALSE,,FALSE
Peridiniales_larger_than_30,Peridiniales,,109394,FALSE,,FALSE
Peridiniales_smaller_than_30,Peridiniales,,109394,FALSE,,FALSE
Peridiniella_catenata_chain,Peridiniella catenata,,110156,FALSE,,TRUE
Peridiniella_catenata_single,Peridiniella catenata,,110156,FALSE,,TRUE
Phaeocystis_spp,Phaeocystis,spp.,115088,FALSE,,TRUE
Phaeodactylum_tricornutus,Phaeodactylum tricornutum,,175584,FALSE,,TRUE
Phalacroma_rotundatum,Phalacroma rotundatum,,156505,TRUE,,TRUE
Polykrikos_kofoidii,Polykrikos kofoidii,,109899,FALSE,,TRUE
Polykrikos_schwartzii,Polykrikos schwartzii,,109901,FALSE,,TRUE
Porosira_glacialis,Porosira glacialis,,156689,FALSE,,TRUE
Proboscia_alata,Proboscia alata,,149168,FALSE,,TRUE
Proboscia_indica,Proboscia indica,,345513,FALSE,,TRUE
Prorocentrum_balticum_Prorocentrum_cordatum,Prorocentrum,spp.,109566,FALSE,,TRUE
Prorocentrum_cordatum,Prorocentrum cordatum,,232376,TRUE,,TRUE
Prorocentrum_lima,Prorocentrum lima,,110301,TRUE,,TRUE
Prorocentrum_micans,Prorocentrum micans,,110303,FALSE,,TRUE
Prorocentrum_micans_Prorocentrum_triestinum_Prorocentrum_gracile,Prorocentrum,spp.,109566,FALSE,,TRUE
Prorocentrum_triestinum,Prorocentrum triestinum,,110316,FALSE,,TRUE
Protoceratium_reticulatum,Protoceratium reticulatum,,110321,TRUE,,TRUE
Protoperidinium_bipes,Protoperidinium bipes,,110208,FALSE,,TRUE
